team,point,played,won,drawn,lost,goal_scored,goal_conceded,goal_diff,win_percentage,loss_percentage,goals_per_game,goals_against_per_game,league
TOTTENHAM HOTSPUR,71.0,38.0,23.0,2.0,13.0,67.0,39.0,28.0,0.605263,0.342105,1.763158,1.026316,premierleague
ARSENAL,70.0,38.0,21.0,7.0,10.0,73.0,51.0,22.0,0.552632,0.263158,1.921053,1.342105,premierleague
MANCHESTER UNITED,66.0,38.0,19.0,9.0,10.0,65.0,54.0,11.0,0.5,0.263158,1.710526,1.421053,premierleague
WOLVERHAMPTON WANDERERS,57.0,38.0,16.0,9.0,13.0,47.0,46.0,1.0,0.421053,0.342105,1.236842,1.210526,premierleague
EVERTON,54.0,38.0,15.0,9.0,14.0,54.0,46.0,8.0,0.394737,0.368421,1.421053,1.210526,premierleague
LEICESTER CITY,52.0,38.0,15.0,7.0,16.0,51.0,48.0,3.0,0.394737,0.421053,1.342105,1.263158,premierleague
WEST HAM UNITED,52.0,38.0,15.0,7.0,16.0,52.0,55.0,-3.0,0.394737,0.421053,1.368421,1.447368,premierleague
WATFORD,50.0,38.0,14.0,8.0,16.0,52.0,59.0,-7.0,0.368421,0.421053,1.368421,1.552632,premierleague
CRYSTAL PALACE,49.0,38.0,14.0,7.0,17.0,51.0,53.0,-2.0,0.368421,0.447368,1.342105,1.394737,premierleague
NEWCASTLE UNITED,45.0,38.0,12.0,9.0,17.0,42.0,48.0,-6.0,0.315789,0.447368,1.105263,1.263158,premierleague
BOURNEMOUTH,45.0,38.0,13.0,6.0,19.0,56.0,70.0,-14.0,0.342105,0.5,1.473684,1.842105,premierleague
BURNLEY,40.0,38.0,11.0,7.0,20.0,45.0,68.0,-23.0,0.289474,0.526316,1.184211,1.789474,premierleague
SOUTHAMPTON,39.0,38.0,9.0,12.0,17.0,45.0,65.0,-20.0,0.236842,0.447368,1.184211,1.710526,premierleague
BRIGHTON & HOVE ALBION,36.0,38.0,9.0,9.0,20.0,35.0,60.0,-25.0,0.236842,0.526316,0.921053,1.578947,premierleague
CARDIFF CITY,34.0,38.0,10.0,4.0,24.0,34.0,69.0,-35.0,0.263158,0.631579,0.894737,1.815789,premierleague
FULHAM,26.0,38.0,7.0,5.0,26.0,34.0,81.0,-47.0,0.184211,0.684211,0.894737,2.131579,premierleague
HUDDERSFIELD TOWN,16.0,38.0,3.0,7.0,28.0,22.0,76.0,-54.0,0.078947,0.736842,0.578947,2.0,premierleague
JUVENTUS,90.0,38.0,28.0,6.0,4.0,70.0,30.0,40.0,0.736842,0.105263,1.842105,0.789474,seriea
NAPOLI,79.0,38.0,24.0,7.0,7.0,74.0,36.0,38.0,0.631579,0.184211,1.947368,0.947368,seriea
ATALANTA,69.0,38.0,20.0,9.0,9.0,77.0,46.0,31.0,0.526316,0.236842,2.026316,1.210526,seriea
INTER,69.0,38.0,20.0,9.0,9.0,57.0,33.0,24.0,0.526316,0.236842,1.5,0.868421,seriea
MILAN,68.0,38.0,19.0,11.0,8.0,55.0,36.0,19.0,0.5,0.210526,1.447368,0.947368,seriea
ROMA,66.0,38.0,18.0,12.0,8.0,66.0,48.0,18.0,0.473684,0.210526,1.736842,1.263158,seriea
TORINO,63.0,38.0,16.0,15.0,7.0,52.0,37.0,15.0,0.421053,0.184211,1.368421,0.973684,seriea
LAZIO,59.0,38.0,17.0,8.0,13.0,56.0,46.0,10.0,0.447368,0.342105,1.473684,1.210526,seriea
SAMPDORIA,53.0,38.0,15.0,8.0,15.0,60.0,51.0,9.0,0.394737,0.394737,1.578947,1.342105,seriea
BOLOGNA,44.0,38.0,11.0,11.0,16.0,48.0,56.0,-8.0,0.289474,0.421053,1.263158,1.473684,seriea
SASSUOLO,43.0,38.0,9.0,16.0,13.0,53.0,60.0,-7.0,0.236842,0.342105,1.394737,1.578947,seriea
UDINESE,43.0,38.0,11.0,10.0,17.0,39.0,53.0,-14.0,0.289474,0.447368,1.026316,1.394737,seriea
SPAL,42.0,38.0,11.0,9.0,18.0,44.0,56.0,-12.0,0.289474,0.473684,1.157895,1.473684,seriea
PARMA,41.0,38.0,10.0,11.0,17.0,41.0,61.0,-20.0,0.263158,0.447368,1.078947,1.605263,seriea
CAGLIARI,41.0,38.0,10.0,11.0,17.0,36.0,54.0,-18.0,0.263158,0.447368,0.947368,1.421053,seriea
FIORENTINA,41.0,38.0,8.0,17.0,13.0,47.0,45.0,2.0,0.210526,0.342105,1.236842,1.184211,seriea
GENOA,38.0,38.0,8.0,14.0,16.0,39.0,57.0,-18.0,0.210526,0.421053,1.026316,1.5,seriea
EMPOLI,38.0,38.0,10.0,8.0,20.0,51.0,70.0,-19.0,0.263158,0.526316,1.342105,1.842105,seriea
FROSINONE,25.0,38.0,5.0,10.0,23.0,29.0,69.0,-40.0,0.131579,0.605263,0.763158,1.815789,seriea
CHIEVOVERONA,17.0,38.0,2.0,14.0,22.0,25.0,75.0,-50.0,0.052632,0.578947,0.657895,1.973684,seriea
NAPOLI,90.0,38.0,28.0,6.0,4.0,77.0,28.0,49.0,0.736842,0.105263,2.026316,0.736842,seriea
LAZIO,74.0,38.0,22.0,8.0,8.0,60.0,30.0,30.0,0.578947,0.210526,1.578947,0.789474,seriea
INTER,72.0,38.0,23.0,3.0,12.0,71.0,42.0,29.0,0.605263,0.315789,1.868421,1.105263,seriea
MILAN,70.0,38.0,20.0,10.0,8.0,64.0,43.0,21.0,0.526316,0.210526,1.684211,1.131579,seriea
ATALANTA,64.0,38.0,19.0,7.0,12.0,66.0,48.0,18.0,0.5,0.315789,1.736842,1.263158,seriea
ROMA,63.0,38.0,18.0,9.0,11.0,50.0,38.0,12.0,0.473684,0.289474,1.315789,1.0,seriea
JUVENTUS,62.0,38.0,22.0,6.0,10.0,56.0,33.0,23.0,0.578947,0.263158,1.473684,0.868421,seriea
FIORENTINA,56.0,38.0,15.0,11.0,12.0,53.0,43.0,10.0,0.394737,0.315789,1.394737,1.131579,seriea
BOLOGNA,54.0,38.0,14.0,12.0,12.0,53.0,49.0,4.0,0.368421,0.315789,1.394737,1.289474,seriea
TORINO,53.0,38.0,14.0,11.0,13.0,42.0,41.0,1.0,0.368421,0.342105,1.105263,1.078947,seriea
MONZA,52.0,38.0,14.0,10.0,14.0,48.0,52.0,-4.0,0.368421,0.368421,1.263158,1.368421,seriea
UDINESE,46.0,38.0,11.0,13.0,14.0,47.0,48.0,-1.0,0.289474,0.368421,1.236842,1.263158,seriea
SASSUOLO,45.0,38.0,12.0,9.0,17.0,47.0,61.0,-14.0,0.315789,0.447368,1.236842,1.605263,seriea
EMPOLI,43.0,38.0,10.0,13.0,15.0,37.0,49.0,-12.0,0.263158,0.394737,0.973684,1.289474,seriea
SALERNITANA,42.0,38.0,9.0,15.0,14.0,48.0,62.0,-14.0,0.236842,0.368421,1.263158,1.631579,seriea
LECCE,36.0,38.0,8.0,12.0,18.0,33.0,46.0,-13.0,0.210526,0.473684,0.868421,1.210526,seriea
HELLAS VERONA,31.0,38.0,7.0,10.0,21.0,31.0,59.0,-28.0,0.184211,0.552632,0.815789,1.552632,seriea
SPEZIA,31.0,38.0,6.0,13.0,19.0,31.0,62.0,-31.0,0.157895,0.5,0.815789,1.631579,seriea
CREMONESE,27.0,38.0,5.0,12.0,21.0,36.0,69.0,-33.0,0.131579,0.552632,0.947368,1.815789,seriea
SAMPDORIA,19.0,38.0,3.0,10.0,25.0,24.0,71.0,-47.0,0.078947,0.657895,0.631579,1.868421,seriea
MILAN,86.0,38.0,26.0,8.0,4.0,69.0,31.0,38.0,0.684211,0.105263,1.815789,0.815789,seriea
INTER,84.0,38.0,25.0,9.0,4.0,84.0,32.0,52.0,0.657895,0.105263,2.210526,0.842105,seriea
NAPOLI,79.0,38.0,24.0,7.0,7.0,74.0,31.0,43.0,0.631579,0.184211,1.947368,0.815789,seriea
JUVENTUS,70.0,38.0,20.0,10.0,8.0,57.0,37.0,20.0,0.526316,0.210526,1.5,0.973684,seriea
LAZIO,64.0,38.0,18.0,10.0,10.0,77.0,58.0,19.0,0.473684,0.263158,2.026316,1.526316,seriea
ROMA,63.0,38.0,18.0,9.0,11.0,59.0,43.0,16.0,0.473684,0.289474,1.552632,1.131579,seriea
FIORENTINA,62.0,38.0,19.0,5.0,14.0,59.0,51.0,8.0,0.5,0.368421,1.552632,1.342105,seriea
ATALANTA,59.0,38.0,16.0,11.0,11.0,65.0,48.0,17.0,0.421053,0.289474,1.710526,1.263158,seriea
HELLAS VERONA,53.0,38.0,14.0,11.0,13.0,65.0,59.0,6.0,0.368421,0.342105,1.710526,1.552632,seriea
TORINO,50.0,38.0,13.0,11.0,14.0,46.0,41.0,5.0,0.342105,0.368421,1.210526,1.078947,seriea
SASSUOLO,50.0,38.0,13.0,11.0,14.0,64.0,66.0,-2.0,0.342105,0.368421,1.684211,1.736842,seriea
UDINESE,47.0,38.0,11.0,14.0,13.0,61.0,58.0,3.0,0.289474,0.342105,1.605263,1.526316,seriea
BOLOGNA,46.0,38.0,12.0,10.0,16.0,44.0,55.0,-11.0,0.315789,0.421053,1.157895,1.447368,seriea
EMPOLI,41.0,38.0,10.0,11.0,17.0,50.0,70.0,-20.0,0.263158,0.447368,1.315789,1.842105,seriea
SAMPDORIA,36.0,38.0,10.0,6.0,22.0,46.0,63.0,-17.0,0.263158,0.578947,1.210526,1.657895,seriea
SPEZIA,36.0,38.0,10.0,6.0,22.0,41.0,71.0,-30.0,0.263158,0.578947,1.078947,1.868421,seriea
SALERNITANA,31.0,38.0,7.0,10.0,21.0,33.0,78.0,-45.0,0.184211,0.552632,0.868421,2.052632,seriea
CAGLIARI,30.0,38.0,6.0,12.0,20.0,34.0,68.0,-34.0,0.157895,0.526316,0.894737,1.789474,seriea
GENOA,28.0,38.0,4.0,16.0,18.0,27.0,60.0,-33.0,0.105263,0.473684,0.710526,1.578947,seriea
VENEZIA,27.0,38.0,6.0,9.0,23.0,34.0,69.0,-35.0,0.157895,0.605263,0.894737,1.815789,seriea
INTER,91.0,38.0,28.0,7.0,3.0,89.0,35.0,54.0,0.736842,0.078947,2.342105,0.921053,seriea
MILAN,79.0,38.0,24.0,7.0,7.0,74.0,41.0,33.0,0.631579,0.184211,1.947368,1.078947,seriea
ATALANTA,78.0,38.0,23.0,9.0,6.0,90.0,47.0,43.0,0.605263,0.157895,2.368421,1.236842,seriea
JUVENTUS,78.0,38.0,23.0,9.0,6.0,77.0,38.0,39.0,0.605263,0.157895,2.026316,1.0,seriea
NAPOLI,77.0,38.0,24.0,5.0,9.0,86.0,41.0,45.0,0.631579,0.236842,2.263158,1.078947,seriea
LAZIO,68.0,38.0,21.0,5.0,12.0,61.0,55.0,6.0,0.552632,0.315789,1.605263,1.447368,seriea
ROMA,62.0,38.0,18.0,8.0,12.0,68.0,58.0,10.0,0.473684,0.315789,1.789474,1.526316,seriea
SASSUOLO,62.0,38.0,17.0,11.0,10.0,64.0,56.0,8.0,0.447368,0.263158,1.684211,1.473684,seriea
SAMPDORIA,52.0,38.0,15.0,7.0,16.0,52.0,54.0,-2.0,0.394737,0.421053,1.368421,1.421053,seriea
HELLAS VERONA,45.0,38.0,11.0,12.0,15.0,46.0,48.0,-2.0,0.289474,0.394737,1.210526,1.263158,seriea
GENOA,42.0,38.0,10.0,12.0,16.0,47.0,58.0,-11.0,0.263158,0.421053,1.236842,1.526316,seriea
BOLOGNA,41.0,38.0,10.0,11.0,17.0,51.0,65.0,-14.0,0.263158,0.447368,1.342105,1.710526,seriea
FIORENTINA,40.0,38.0,9.0,13.0,16.0,47.0,59.0,-12.0,0.236842,0.421053,1.236842,1.552632,seriea
UDINESE,40.0,38.0,10.0,10.0,18.0,42.0,58.0,-16.0,0.263158,0.473684,1.105263,1.526316,seriea
SPEZIA,39.0,38.0,9.0,12.0,17.0,52.0,72.0,-20.0,0.236842,0.447368,1.368421,1.894737,seriea
CAGLIARI,37.0,38.0,9.0,10.0,19.0,43.0,59.0,-16.0,0.236842,0.5,1.131579,1.552632,seriea
TORINO,37.0,38.0,7.0,16.0,15.0,50.0,69.0,-19.0,0.184211,0.394737,1.315789,1.815789,seriea
